date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:07:22	4813/4813	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Feb%202026%2001:07:25%20GMT	https://omnipartners.co.nz/robots.txt		(from )
22:07:22	48604/48604	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Feb%202026%2001:07:26%20GMT	https://omnipartners.co.nz/	C:/My%20Web%20Sites/omni/omnipartners.co.nz/index.html	(from )
22:07:23	430/430	---M--	200	added ('OK')	image/png	etag:%22616ce15f-1ae%22	https://omnipartners.co.nz/assets/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/omni/omnipartners.co.nz/assets/favicon/apple-touch-icon.png	(from https://omnipartners.co.nz/)
22:07:23	365/365	---M--	200	added ('OK')	image/png	etag:%22616ce15f-16d%22	https://omnipartners.co.nz/assets/favicon/favicon-32x32.png	C:/My%20Web%20Sites/omni/omnipartners.co.nz/assets/favicon/favicon-32x32.png	(from https://omnipartners.co.nz/)
22:07:24	362/362	---M--	200	added ('OK')	image/png	etag:%22616ce15f-16a%22	https://omnipartners.co.nz/assets/favicon/favicon-16x16.png	C:/My%20Web%20Sites/omni/omnipartners.co.nz/assets/favicon/favicon-16x16.png	(from https://omnipartners.co.nz/)
22:07:24	424/424	---M--	200	added ('OK')	text/html	etag:%221a8-5ce97a1e3d5c0%22	https://omnipartners.co.nz/assets/favicon/site.webmanifest	C:/My%20Web%20Sites/omni/omnipartners.co.nz/assets/favicon/site.html	(from https://omnipartners.co.nz/)
22:07:24	603/603	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22616ce15f-25b%22	https://omnipartners.co.nz/assets/favicon/safari-pinned-tab.svg	C:/My%20Web%20Sites/omni/omnipartners.co.nz/assets/favicon/safari-pinned-tab.svg	(from https://omnipartners.co.nz/)
22:07:25	1350/1350	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22616ce15f-546%22	https://omnipartners.co.nz/assets/favicon/favicon.ico	C:/My%20Web%20Sites/omni/omnipartners.co.nz/assets/favicon/favicon.ico	(from https://omnipartners.co.nz/)
22:07:25	65796/65796	---MCZ	200	added ('OK')	text/css	etag:W/%2210104-5cf5adf3ee2c0%22	https://omnipartners.co.nz/assets/css/style.66a27f47cf1b8f8d21a778a7c64d6d9c.css	C:/My%20Web%20Sites/omni/omnipartners.co.nz/assets/css/style.66a27f47cf1b8f8d21a778a7c64d6d9c.css	(from https://omnipartners.co.nz/)
22:07:26	32889/32889	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Feb%202026%2001:07:29%20GMT	https://omnipartners.co.nz/services/site-finding	C:/My%20Web%20Sites/omni/omnipartners.co.nz/services/site-finding.html	(from https://omnipartners.co.nz/)
22:07:26	36564/36564	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Feb%202026%2001:07:29%20GMT	https://omnipartners.co.nz/our-partners	C:/My%20Web%20Sites/omni/omnipartners.co.nz/our-partners.html	(from https://omnipartners.co.nz/)
22:07:27	26053/26053	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Feb%202026%2001:07:30%20GMT	https://omnipartners.co.nz/contact	C:/My%20Web%20Sites/omni/omnipartners.co.nz/contact.html	(from https://omnipartners.co.nz/)
22:07:27	37551/37551	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Feb%202026%2001:07:30%20GMT	https://omnipartners.co.nz/established-developers	C:/My%20Web%20Sites/omni/omnipartners.co.nz/established-developers.html	(from https://omnipartners.co.nz/)
22:07:28	43306/43306	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Feb%202026%2001:07:31%20GMT	https://omnipartners.co.nz/emerging-developers	C:/My%20Web%20Sites/omni/omnipartners.co.nz/emerging-developers.html	(from https://omnipartners.co.nz/)
22:07:28	26439/26439	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Feb%202026%2001:07:31%20GMT	https://omnipartners.co.nz/expertise/townhouses	C:/My%20Web%20Sites/omni/omnipartners.co.nz/expertise/townhouses.html	(from https://omnipartners.co.nz/)
22:07:28	26305/26305	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Feb%202026%2001:07:31%20GMT	https://omnipartners.co.nz/expertise/apartments	C:/My%20Web%20Sites/omni/omnipartners.co.nz/expertise/apartments.html	(from https://omnipartners.co.nz/)
22:07:29	26434/26434	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Feb%202026%2001:07:32%20GMT	https://omnipartners.co.nz/expertise/subdividing	C:/My%20Web%20Sites/omni/omnipartners.co.nz/expertise/subdividing.html	(from https://omnipartners.co.nz/)
22:07:29	26550/26550	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Feb%202026%2001:07:32%20GMT	https://omnipartners.co.nz/expertise/commercial-retail	C:/My%20Web%20Sites/omni/omnipartners.co.nz/expertise/commercial-retail.html	(from https://omnipartners.co.nz/)
22:07:30	26306/26306	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Feb%202026%2001:07:33%20GMT	https://omnipartners.co.nz/expertise/industrial	C:/My%20Web%20Sites/omni/omnipartners.co.nz/expertise/industrial.html	(from https://omnipartners.co.nz/)
22:07:30	25493/25493	---M--	200	added ('OK')	image/jpeg	date:Sat,%2028%20Feb%202026%2001:07:33%20GMT	https://omni-development-partners.imgix.net/media/pages/home/ad531791da-1760435448/placeholder-home-01.jpg?auto=format&blur=200&px=20	C:/My%20Web%20Sites/omni/omni-development-partners.imgix.net/media/pages/home/ad531791da-1760435448/placeholder-home-01b03a.jpg	(from https://omnipartners.co.nz/)
22:07:31	12155/12155	---M--	200	added ('OK')	image/jpeg	date:Sat,%2028%20Feb%202026%2001:07:34%20GMT	https://omni-development-partners.imgix.net/media/pages/home/f8b3672f25-1760435448/placeholder-home-02.jpg?auto=format&blur=200&px=20	C:/My%20Web%20Sites/omni/omni-development-partners.imgix.net/media/pages/home/f8b3672f25-1760435448/placeholder-home-02b03a.jpg	(from https://omnipartners.co.nz/)
22:07:31	11650/11650	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Feb%202026%2007:26:20%20GMT	https://omni-development-partners.imgix.net/media/pages/home/a8881798b3-1760435448/placeholder-home-03.jpg?auto=format&blur=200&px=20	C:/My%20Web%20Sites/omni/omni-development-partners.imgix.net/media/pages/home/a8881798b3-1760435448/placeholder-home-03b03a.jpg	(from https://omnipartners.co.nz/)
22:07:31	18222/18222	---M--	200	added ('OK')	image/png	date:Sat,%2028%20Feb%202026%2001:07:35%20GMT	https://omni-development-partners.imgix.net/assets/images/home.png?blur=200&px=100&auto=format	C:/My%20Web%20Sites/omni/omni-development-partners.imgix.net/assets/images/homea8ab.png	(from https://omnipartners.co.nz/)
22:07:32	30265/30265	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Feb%202026%2001:07:35%20GMT	https://omnipartners.co.nz/services/feasibility	C:/My%20Web%20Sites/omni/omnipartners.co.nz/services/feasibility.html	(from https://omnipartners.co.nz/)
22:07:32	30303/30303	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Feb%202026%2001:07:35%20GMT	https://omnipartners.co.nz/services/design	C:/My%20Web%20Sites/omni/omnipartners.co.nz/services/design.html	(from https://omnipartners.co.nz/)
22:07:33	30323/30323	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Feb%202026%2001:07:36%20GMT	https://omnipartners.co.nz/services/construction	C:/My%20Web%20Sites/omni/omnipartners.co.nz/services/construction.html	(from https://omnipartners.co.nz/)
22:07:33	84299/84299	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Feb%202026%2013:14:14%20GMT	https://omni-development-partners.imgix.net/media/pages/home/97aa529793-1760435448/placeholder-home-05.jpg?auto=format&blur=200&px=20	C:/My%20Web%20Sites/omni/omni-development-partners.imgix.net/media/pages/home/97aa529793-1760435448/placeholder-home-05b03a.jpg	(from https://omnipartners.co.nz/)
22:07:33	70912/70912	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Feb%202026%2013:14:25%20GMT	https://omni-development-partners.imgix.net/media/pages/home/3d9a5cbe1f-1760435448/placeholder-home-06.jpg?auto=format&blur=200&px=20	C:/My%20Web%20Sites/omni/omni-development-partners.imgix.net/media/pages/home/3d9a5cbe1f-1760435448/placeholder-home-06b03a.jpg	(from https://omnipartners.co.nz/)
22:07:34	52809/52809	---M--	200	added ('OK')	image/jpeg	date:Sat,%2028%20Feb%202026%2001:07:37%20GMT	https://omni-development-partners.imgix.net/media/pages/home/c7ee027264-1760435448/placeholder-home-07.jpg?auto=format&blur=200&px=20	C:/My%20Web%20Sites/omni/omni-development-partners.imgix.net/media/pages/home/c7ee027264-1760435448/placeholder-home-07b03a.jpg	(from https://omnipartners.co.nz/)
22:07:34	25528/25528	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Feb%202026%2001:07:37%20GMT	https://omnipartners.co.nz/privacy-policy	C:/My%20Web%20Sites/omni/omnipartners.co.nz/privacy-policy.html	(from https://omnipartners.co.nz/)
22:07:34	25532/25532	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Feb%202026%2001:07:37%20GMT	https://omnipartners.co.nz/terms-and-conditions	C:/My%20Web%20Sites/omni/omnipartners.co.nz/terms-and-conditions.html	(from https://omnipartners.co.nz/)
22:07:35	1051/1051	---MC-	200	added ('OK')	text/javascript	date:Sat,%2028%20Feb%202026%2001:07:38%20GMT	https://www.google.com/recaptcha/api.js?render=6LfLofccAAAAAGLrdo4SasegrUZpbJXjtU7ikFD_	C:/My%20Web%20Sites/omni/www.google.com/recaptcha/api4ba0.js	(from https://omnipartners.co.nz/)
22:07:36	485917/485917	---MCZ	200	added ('OK')	application/javascript	etag:W/%2276a1d-5cf5adeb58e80%22	https://omnipartners.co.nz/assets/js/app.37d25cba10c1488ad2d492b5b1521520.js	C:/My%20Web%20Sites/omni/omnipartners.co.nz/assets/js/app.37d25cba10c1488ad2d492b5b1521520.js	(from https://omnipartners.co.nz/)
22:07:37	23776/23776	---M--	200	added ('OK')	application/font-woff2	etag:%22616ce160-5ce0%22	https://omnipartners.co.nz/assets/fonts/MessinaSansWeb-Regular.woff2	C:/My%20Web%20Sites/omni/omnipartners.co.nz/assets/fonts/MessinaSansWeb-Regular.woff2	(from https://omnipartners.co.nz/assets/css/style.66a27f47cf1b8f8d21a778a7c64d6d9c.css)
22:07:37	29584/29584	---M--	200	added ('OK')	application/font-woff	etag:%22616ce160-7390%22	https://omnipartners.co.nz/assets/fonts/MessinaSansWeb-Regular.woff	C:/My%20Web%20Sites/omni/omnipartners.co.nz/assets/fonts/MessinaSansWeb-Regular.woff	(from https://omnipartners.co.nz/assets/css/style.66a27f47cf1b8f8d21a778a7c64d6d9c.css)
22:07:38	24960/24960	---M--	200	added ('OK')	application/font-woff2	etag:%22616ce160-6180%22	https://omnipartners.co.nz/assets/fonts/MessinaSansWeb-RegularItalic.woff2	C:/My%20Web%20Sites/omni/omnipartners.co.nz/assets/fonts/MessinaSansWeb-RegularItalic.woff2	(from https://omnipartners.co.nz/assets/css/style.66a27f47cf1b8f8d21a778a7c64d6d9c.css)
22:07:38	31108/31108	---M--	200	added ('OK')	application/font-woff	etag:%22616ce160-7984%22	https://omnipartners.co.nz/assets/fonts/MessinaSansWeb-RegularItalic.woff	C:/My%20Web%20Sites/omni/omnipartners.co.nz/assets/fonts/MessinaSansWeb-RegularItalic.woff	(from https://omnipartners.co.nz/assets/css/style.66a27f47cf1b8f8d21a778a7c64d6d9c.css)
22:07:39	18095/18095	---M--	200	added ('OK')	image/png	date:Sat,%2028%20Feb%202026%2001:07:42%20GMT	https://omni-development-partners.imgix.net/assets/images/services.png?blur=200&px=100&auto=format	C:/My%20Web%20Sites/omni/omni-development-partners.imgix.net/assets/images/servicesa8ab.png	(from https://omnipartners.co.nz/services/site-finding)
22:07:39	222150/222150	---M--	200	added ('OK')	image/jpeg	date:Sat,%2028%20Feb%202026%2001:07:42%20GMT	https://omni-development-partners.imgix.net/media/pages/services/site-finding/1e671ee984-1760435448/omni-panmure-0062.jpg?auto=format&blur=200&px=20	C:/My%20Web%20Sites/omni/omni-development-partners.imgix.net/media/pages/services/site-finding/1e671ee984-1760435448/omni-panmure-0062b03a.jpg	(from https://omnipartners.co.nz/services/site-finding)
22:07:40	20848/20848	---M--	200	added ('OK')	image/jpeg	date:Sat,%2028%20Feb%202026%2001:07:43%20GMT	https://omni-development-partners.imgix.net/media/pages/services/site-finding/63c76ea5de-1760435448/placeholder-services-03.jpg?auto=format&blur=200&px=20	C:/My%20Web%20Sites/omni/omni-development-partners.imgix.net/media/pages/services/site-finding/63c76ea5de-1760435448/placeholder-services-03b03a.jpg	(from https://omnipartners.co.nz/services/site-finding)
22:07:40	177345/177345	---M--	200	added ('OK')	image/jpeg	date:Sat,%2028%20Feb%202026%2001:07:43%20GMT	https://omni-development-partners.imgix.net/media/pages/our-partners/288fecd015-1760435448/placeholder-partners-01.jpg?auto=format&blur=200&px=20	C:/My%20Web%20Sites/omni/omni-development-partners.imgix.net/media/pages/our-partners/288fecd015-1760435448/placeholder-partners-01b03a.jpg	(from https://omnipartners.co.nz/our-partners)
22:07:41	61328/61328	---M--	200	added ('OK')	image/jpeg	date:Sat,%2028%20Feb%202026%2001:07:44%20GMT	https://omni-development-partners.imgix.net/media/pages/contact/8d9e619a09-1760435448/placeholder-contact-01.jpg?auto=format&blur=200&px=20	C:/My%20Web%20Sites/omni/omni-development-partners.imgix.net/media/pages/contact/8d9e619a09-1760435448/placeholder-contact-01b03a.jpg	(from https://omnipartners.co.nz/contact)
22:07:41	18145/18145	---M--	200	added ('OK')	image/png	date:Sat,%2028%20Feb%202026%2001:07:44%20GMT	https://omni-development-partners.imgix.net/assets/images/established.png?blur=200&px=100&auto=format	C:/My%20Web%20Sites/omni/omni-development-partners.imgix.net/assets/images/establisheda8ab.png	(from https://omnipartners.co.nz/established-developers)
